CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,164,11,372.86,1
12347.0,2,2,1323.32,0
12348.0,73,1,222.16,0
12349.0,42,3,2671.14,0
12351.0,10,1,300.93,0
12352.0,10,2,343.8,0
12353.0,43,1,317.76,0
12355.0,202,1,488.21000000000004,1
12356.0,15,3,3562.25,0
12357.0,23,2,12079.99,0
12358.0,10,3,2719.01,0
12359.0,60,6,2563.36,0
12360.0,14,5,1590.83,0
12361.0,97,3,321.35,0
12362.0,373,1,130.0,1
12366.0,268,1,500.24,1
12368.0,263,1,917.6999999999999,1
12369.0,48,3,1791.15,0
12370.0,259,3,774.62,1
12371.0,44,3,2179.42,0
12373.0,259,2,763.0500000000001,1
12374.0,56,3,2246.29,0
12376.0,24,2,503.15,0
12377.0,16,2,1798.2,0
12378.0,197,1,1407.7,1
12379.0,57,2,767.98,0
12380.0,100,7,6951.49,0
12385.0,14,1,1938.4,0
12386.0,1,1,258.9,0
12387.0,50,1,143.94,0
12388.0,80,2,1120.45,0
12389.0,37,3,1433.33,0
12391.0,99,5,2312.53,0
12392.0,226,1,234.75000000000003,1
12393.0,17,2,816.85,0
12395.0,6,4,2048.64,0
12396.0,309,1,931.43,1
12399.0,20,3,853.65,0
12400.0,49,1,205.25,0
12402.0,27,5,1031.3,0
12403.0,156,1,591.6600000000001,1
12404.0,317,1,63.24,1
12406.0,34,3,2975.06,0
12408.0,20,3,1452.22,0
12409.0,55,4,12346.619999999999,0
12410.0,137,1,320.38,0
12411.0,44,1,346.9,0
12412.0,37,3,1370.05,0
12413.0,37,1,241.35,0
12414.0,98,3,390.0,0
12415.0,10,7,19543.84,0
12416.0,291,1,202.56,1
12417.0,45,11,3167.81,0
12418.0,48,3,1352.62,0
12419.0,20,2,503.01,0
12421.0,50,2,291.56,0
12422.0,29,14,4428.24,0
12423.0,22,2,763.08,0
12424.0,57,2,1579.07,0
12425.0,83,1,964.21,0
12426.0,297,1,762.48,1
12427.0,6,1,303.5,0
12429.0,0,5,3735.51,0
12431.0,8,13,4370.52,0
12433.0,1,5,7205.39,0
12434.0,16,1,297.29,0
12435.0,31,4,6096.04,0
12437.0,30,21,7731.99,0
12439.0,317,2,1158.18,1
12440.0,97,2,859.2,0
